,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Доп. объявление группы,Тип объявления,Мобильное объявление,ID группы,Название группы,Номер группы,"Статус ""Мало показов""",ID фразы,Фраза (с минус-словами),Фраза (с минус-словами),Заголовок 1,Заголовок 2,Текст,Длина,,,Ссылка,Отображаемая ссылка,Регион,Организация Яндекс.Справочника,Ставка,Ставка в сетях,Контакты,Статус объявления ,Статус фразы,Заголовки быстрых ссылок,Описания быстрых ссылок,Адреса быстрых ссылок,Турбо-страницы быстрых ссылок,Параметр 1,Параметр 2,Метки,Изображение,Креатив,Статус модерации креатива,Турбо-страница,Уточнения,Минус-фразы на группу,Возрастные ограничения,Реклама мобильных приложений: настройки на группу,,,,Реклама мобильных приложений: настройки на объявление,,,,
-,Текстово-графическое,-,68469013,Группа №68469013,8,-,558343938,кадровые агентства +по подбору персонала,68472263,Мы найдем Вам лучших из лучших!,,"Услуги по подбору персонала. Качественно, оперативно, выгодно!",30,,58,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469013,Группа №68469013,8,-,558343928,нанять бухгалтера,68472263,Мы найдем Вам лучших из лучших!,,"Услуги по подбору персонала. Качественно, оперативно, выгодно!",30,,58,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469013,Группа №68469013,8,-,558343934,нанять +на работу,68472263,Мы найдем Вам лучших из лучших!,,"Услуги по подбору персонала. Качественно, оперативно, выгодно!",30,,58,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469013,Группа №68469013,8,-,558343943,нанять секретаря,68472263,Мы найдем Вам лучших из лучших!,,"Услуги по подбору персонала. Качественно, оперативно, выгодно!",30,,58,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469013,Группа №68469013,8,-,558343929,кадровое агентство -адрес -подбор -список -хороший -москва -вакансия,68472263,Мы найдем Вам лучших из лучших!,,"Услуги по подбору персонала. Качественно, оперативно, выгодно!",30,,58,http://thor-hr.ru,,Москва и область,,"6,61","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368329,найти персонал,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"4,07","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368326,поиск персонала,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"22,37","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368330,поиск сотрудников,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"29,75","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344965,подбор кадров,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"16,53","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368324,подбор персонала москва,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"10,42","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368327,рекрутинговые агентства,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344968,кадровое агентство москва,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"16,78","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368328,поиск работников,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"5,85","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576368325,рекрутинговая компания,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"11,69","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344963,нанять специалиста,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344956,кадровое агентство подбор,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"10,68","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344955,кадровое агентство -подбор -москва,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"5,59","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344961,подбор персонала -москва,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"54,66","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344957,нанять менеджера,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"13,22","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344966,агентство +по подбору персонала -кадровый,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"13,73","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344964,кадровые агентства +по подбору персонала,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344954,нанять бухгалтера,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344960,нанять +на работу,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"15,25","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,558344969,нанять секретаря,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469351,Группа №68469351,9,-,576377825,Тор и партнеры,68472602,Услуги кадрового агентства,,"""Тор и партнеры"". Оперативный подбор персонала с гарантией. От 13000 руб!",26,,68,http://thor-hr.ru,,Москва и область,,"11,95","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345625,подбор персонала,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"22,63","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345629,подбор кадров,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"7,37","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345631,лучшие кадровые агентства,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"2,03","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345622,список кадровых агентств,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"5,59","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345617,вакансии кадровых агентств,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"1,27","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345632,кадровое агентство москва,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"4,07","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345623,адреса кадровых агентств,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"2,29","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345627,нанять специалиста,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345620,кадровое агентство подбор,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"8,39","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345626,кадровый центр москва,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"4,58","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345621,нанять менеджера,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345630,агентство +по подбору персонала -кадровый,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345628,кадровые агентства +по подбору персонала,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345618,нанять бухгалтера,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345624,нанять +на работу,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345633,нанять секретаря,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469473,Группа №68469473,10,-,558345619,кадровое агентство -адрес -подбор -список -хороший -москва -вакансия,68472724,"""Тор и партнеры"" - нам доверяют!",,Подбор квалифицированного персонала с гарантией. Тарифы от 19000 руб.!,29,,67,http://thor-hr.ru,,Москва и область,,"14,49","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346184,подбор персонала,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"13,47","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346188,подбор кадров,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"5,34","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346190,лучшие кадровые агентства,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346181,список кадровых агентств,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"3,05","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346176,вакансии кадровых агентств,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"1,27","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346191,кадровое агентство москва,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"5,08","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346182,адреса кадровых агентств,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346186,нанять специалиста,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346179,кадровое агентство подбор,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"5,85","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346185,кадровый центр москва,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"7,88","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346180,нанять менеджера,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346189,агентство +по подбору персонала -кадровый,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346187,кадровые агентства +по подбору персонала,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346177,нанять бухгалтера,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346183,нанять +на работу,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346192,нанять секретаря,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469606,Группа №68469606,11,-,558346178,кадровое агентство -адрес -подбор -список -хороший -москва -вакансия,68472857,"""Тор и партнеры"" - нам доверяют!",,Профессиональный подбор кадров от 5 дней. Гарантии. Без предоплаты!,29,,64,http://thor-hr.ru,,Москва и область,,"7,88","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347419,подбор персонала,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"11,44","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347423,подбор кадров,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"5,59","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347425,лучшие кадровые агентства,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347416,список кадровых агентств,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"3,05","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347411,вакансии кадровых агентств,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"1,27","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347426,кадровое агентство москва,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347417,адреса кадровых агентств,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"1,53","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347421,нанять специалиста,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347414,кадровое агентство подбор,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"7,37","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347420,кадровый центр москва,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"7,88","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347415,нанять менеджера,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347424,агентство +по подбору персонала -кадровый,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347422,кадровые агентства +по подбору персонала,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347412,нанять бухгалтера,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347418,нанять +на работу,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347427,нанять секретаря,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469673,Группа №68469673,12,-,558347413,кадровое агентство -адрес -подбор -список -хороший -москва -вакансия,68472924,Решим вопросы с персоналом,,Профессиональный подбор кадров за 5 дней. Гарантии. Без предоплаты!,26,,64,http://thor-hr.ru,,Москва и область,,"11,44","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68469753,Группа №68469753,13,-,558348726,подбор персонала,68473004,Решаем вопросы с персоналом,,"Кадровое агентство ""Тор и партнеры"" - скидки до 25% на подбор специалистов",27,,72,http://thor-hr.ru,,Москва и область,,"14,24","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
